Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Course,Fathers_occupation,Previous_qualification_grade,Curricular_units_1st_sem_grade,Admission_grade,Target
3,10.85714286,9147,7,120.0,10.33333333,115.5,Dropout
1,11.0,9254,7,106.0,10.5,106.0,Dropout
6,13.33333333,9773,8,121.0,13.66666667,120.3,Graduate
8,15.05555556,9500,9,150.0,14.84285714,130.8,Graduate
6,11.66666667,8014,6,120.0,12.0,117.0,Graduate
5,12.2,9853,9,114.0,12.2,110.2,Dropout
0,0.0,9991,2,140.0,0.0,155.7,Dropout
10,13.3,9003,2,160.0,12.16666667,180.4,Dropout
3,11.33333333,9254,4,120.0,12.0,125.5,Enrolled
5,11.0,8014,6,130.0,11.0,110.0,Graduate
7,13.08,9500,7,160.0,13.08,161.0,Graduate
5,11.6,9670,5,120.0,10.5,100.0,Graduate
5,11.2,9070,0,124.0,10.66666667,117.6,Graduate
5,13.8,9147,9,143.0,14.0,128.7,Enrolled
0,0.0,9119,6,115.0,10.0,112.2,Enrolled
0,0.0,9500,10,133.1,0.0,100.8,Dropout
6,13.5,9773,9,133.1,14.0,105.0,Graduate
0,0.0,9130,4,133.1,12.0,100.0,Dropout
0,0.0,9853,0,133.1,12.66666667,115.5,Dropout
6,12.33333333,8014,9,133.1,11.875,114.0,Graduate
3,13.25,9119,2,130.0,14.0,137.0,Enrolled
6,13.33333333,9773,5,135.0,13.66666667,124.9,Graduate
8,14.47777778,9500,7,132.0,13.75,120.3,Graduate
5,13.8,9085,1,135.0,14.2,134.3,Enrolled
0,0.0,9500,2,115.0,11.96,111.5,Dropout
5,13.4,9085,9,130.0,12.875,128.8,Dropout
0,0.0,171,10,133.1,0.0,110.0,Graduate
0,0.0,8014,5,130.0,0.0,113.5,Dropout
13,14.23076923,9003,6,133.1,14.63157895,160.0,Graduate
0,0.0,9853,7,123.0,0.0,117.4,Dropout
11,12.27272727,9070,8,130.0,13.0,122.2,Graduate
0,0.0,9238,7,122.0,0.0,118.2,Dropout
4,13.25,9085,4,113.0,14.2,106.7,Dropout
5,12.3,9500,3,111.0,13.26666667,108.2,Dropout
3,13.0,9853,3,133.1,11.66666667,107.0,Enrolled
6,15.0,9238,7,142.0,13.85714286,136.1,Graduate
3,11.0,9147,7,123.0,13.0,115.3,Enrolled
5,12.8,9085,9,131.0,13.4,139.8,Graduate
6,12.57142857,9773,7,158.0,12.66666667,157.0,Graduate
6,12.51666667,9500,9,122.0,12.51666667,131.0,Dropout
7,13.0,9500,5,130.0,11.61666667,100.0,Enrolled
4,10.75,9238,7,154.0,10.0,140.4,Enrolled
3,10.66666667,9147,3,120.0,10.33333333,113.4,Enrolled
5,11.4,9085,7,140.0,13.14285714,137.0,Graduate
5,14.0,9147,5,127.0,12.6,121.8,Graduate
2,11.0,9254,5,133.1,11.0,131.0,Dropout
4,11.25,9147,7,120.0,10.8,118.6,Graduate
0,0.0,171,9,137.0,0.0,122.3,Dropout
5,14.2,9670,9,131.0,12.8,127.9,Graduate
6,12.2,9085,7,130.0,14.16666667,121.3,Graduate
0,0.0,9556,5,122.0,12.1,117.1,Dropout
5,13.77777778,9085,9,160.0,14.16666667,160.0,Graduate
5,13.4,9853,3,146.0,12.8,145.3,Enrolled
6,13.66666667,9238,3,131.0,13.0,122.6,Graduate
8,15.01111111,9500,9,132.0,13.46714286,128.0,Graduate
7,13.74285714,9500,8,138.0,13.2375,124.9,Dropout
6,13.0,9070,9,130.0,12.33333333,123.7,Graduate
5,14.6,9147,8,126.0,12.4,120.1,Graduate
0,0.0,9500,3,148.0,14.0,131.7,Dropout
7,11.71428571,9238,7,130.0,11.66666667,133.2,Graduate
4,12.5,9670,9,117.0,12.0,109.3,Dropout
4,11.5,9670,5,120.0,12.2,113.0,Graduate
6,14.83333333,9773,175,153.0,14.83333333,157.9,Graduate
7,12.89285714,9500,7,117.0,13.188,112.1,Enrolled
8,17.5875,9500,8,178.0,17.125,174.7,Graduate
6,12.66666667,9500,9,129.0,12.66666667,128.8,Graduate
5,12.0,9773,4,116.0,12.66666667,110.1,Graduate
0,0.0,9147,3,99.0,0.0,99.7,Enrolled
6,11.5,9238,10,135.0,11.33333333,121.0,Graduate
8,12.33125,9500,7,141.0,13.605,131.7,Graduate
5,10.8,9853,6,132.0,12.0,119.1,Graduate
0,0.0,9254,9,132.0,0.0,124.7,Dropout
3,11.66666667,9254,10,113.0,11.2,117.2,Dropout
5,14.16666667,9147,10,134.0,13.375,128.8,Graduate
7,14.17857143,9500,9,136.0,13.86333333,131.5,Graduate
0,0.0,171,8,136.0,0.0,121.7,Enrolled
5,13.4,9085,7,129.0,12.4,123.4,Graduate
5,10.83333333,9853,6,138.0,12.33333333,124.7,Enrolled
5,11.8,9853,9,137.0,13.33333333,132.8,Graduate
3,10.0,9853,5,115.0,12.66666667,108.7,Dropout
4,11.5,9853,6,129.0,12.0,138.1,Dropout
5,11.8,9147,9,131.0,10.6,126.5,Graduate
6,11.85714286,9238,9,133.0,12.25,127.4,Graduate
6,11.83333333,9238,10,125.0,11.0,123.6,Graduate
5,12.6,8014,8,120.0,11.0,122.0,Graduate
6,13.0,9670,1,128.0,13.16666667,118.2,Dropout
7,12.76111111,9500,7,127.0,12.85555556,123.9,Graduate
8,15.355,9500,9,134.0,14.91875,125.8,Graduate
3,11.0,9853,4,132.0,11.5,123.3,Dropout
5,14.2,9670,4,124.0,14.2,124.4,Graduate
6,13.0,9773,7,133.1,12.5,126.0,Graduate
0,0.0,9003,6,170.0,0.0,170.0,Enrolled
4,11.0,9238,8,125.0,11.66666667,121.5,Graduate
7,14.25714286,9500,1,130.0,14.25714286,130.0,Graduate
2,11.33333333,9238,8,125.0,12.0,117.0,Dropout
4,10.5,9085,7,130.0,11.25,130.0,Enrolled
8,13.5625,9556,10,133.1,12.45714286,108.0,Graduate
6,11.68333333,9500,5,131.0,11.68333333,132.3,Graduate
5,12.0,8014,6,150.0,11.66666667,148.0,Graduate
6,13.16666667,9254,8,125.0,11.75,122.6,Dropout
4,13.5,9670,9,131.0,11.66666667,123.0,Enrolled
5,12.0,9853,5,130.0,13.2,102.5,Graduate
4,11.95,9500,90,123.0,11.95,113.3,Dropout
5,10.4,9853,5,141.0,12.4,133.0,Dropout
6,14.58333333,9500,5,140.0,14.35,140.0,Dropout
19,12.78947368,9853,3,140.0,12.61904762,128.3,Graduate
6,13.16666667,9991,8,140.0,12.66666667,140.0,Enrolled
0,0.0,9773,4,133.1,12.0,104.0,Dropout
0,0.0,9070,5,131.0,12.16666667,122.3,Dropout
0,0.0,9254,6,143.0,0.0,135.0,Dropout
3,10.57142857,9147,7,132.0,10.0,119.1,Dropout
4,10.0,9238,9,143.0,11.5,126.6,Enrolled
6,13.05,9500,4,141.0,13.05,129.0,Graduate
0,0.0,9085,9,133.1,11.0,162.3,Dropout
6,12.0,9070,1,148.0,11.5,163.4,Graduate
6,12.5,9254,8,125.0,12.0,121.5,Graduate
1,10.0,8014,3,120.0,10.0,122.8,Enrolled
0,0.0,9147,3,140.0,0.0,118.0,Dropout
0,0.0,9853,10,139.0,0.0,134.0,Dropout
7,12.24285714,9500,8,142.0,12.24285714,129.8,Graduate
0,0.0,9991,4,130.0,0.0,152.0,Dropout
8,12.93375,9500,5,126.0,12.93375,122.8,Graduate
0,0.0,9119,2,150.0,0.0,150.0,Dropout
7,14.42857143,9853,8,130.0,12.57142857,131.8,Graduate
3,11.33333333,9500,121,120.0,11.81666667,105.9,Enrolled
4,14.33333333,9085,7,138.0,13.75,132.1,Graduate
6,11.33333333,9238,0,127.0,11.16666667,127.4,Graduate
7,12.32428571,9500,7,140.0,12.32428571,129.5,Graduate
6,11.71428571,9238,10,130.0,12.16666667,126.7,Graduate
4,11.25,9238,8,128.0,11.14285714,116.5,Graduate
4,10.75,9238,0,132.0,11.0,119.1,Graduate
7,12.91428571,9500,9,149.0,12.91428571,126.5,Graduate
6,14.16666667,9773,4,155.0,13.83333333,149.8,Graduate
5,13.4,9085,7,120.0,13.85714286,115.1,Graduate
5,12.8,9254,3,133.1,13.71428571,124.5,Dropout
7,12.64285714,9500,4,131.0,12.64285714,128.3,Graduate
6,12.91666667,9500,9,149.0,12.91666667,136.0,Graduate
6,15.85714286,9130,2,140.0,15.625,140.0,Graduate
0,0.0,9991,9,133.1,0.0,126.3,Dropout
6,12.0,9773,5,122.0,11.71428571,126.9,Graduate
8,13.3125,9556,5,130.0,12.125,145.0,Enrolled
5,11.6,9147,5,121.0,11.6,115.8,Graduate
0,0.0,8014,7,120.0,10.0,100.0,Dropout
0,0.0,8014,4,133.1,10.0,102.5,Dropout
2,13.5,9085,3,121.0,0.0,131.5,Dropout
3,12.33333333,9147,7,133.0,13.0,147.0,Graduate
6,14.5,9853,7,134.0,13.33333333,122.5,Graduate
2,12.5,9254,3,115.0,11.25,117.5,Dropout
7,12.19285714,9500,9,127.0,13.85,150.0,Graduate
7,14.9125,9500,5,135.0,13.74166667,127.5,Graduate
5,15.8,9991,3,140.0,15.33333333,140.0,Graduate
5,13.8,9147,10,130.0,11.0,130.0,Graduate
6,12.85714286,9238,9,135.0,12.0,133.3,Graduate
0,0.0,9670,0,140.0,0.0,97.0,Dropout
7,11.57142857,9500,8,120.0,11.57142857,112.0,Graduate
3,12.66666667,9254,5,140.0,12.85714286,123.6,Graduate
0,0.0,9254,6,133.1,0.0,130.5,Dropout
5,13.2,9670,3,135.0,13.0,133.3,Graduate
5,12.0,9254,9,123.0,11.0,132.1,Graduate
1,15.0,9147,10,133.1,12.0,100.0,Dropout
6,13.0,9238,9,154.0,12.6,140.4,Graduate
6,13.16666667,9853,7,148.0,13.4,141.7,Graduate
6,11.57142857,9238,9,133.0,11.33333333,119.7,Graduate
4,14.25,9130,9,126.0,13.5,122.5,Dropout
3,10.33333333,9085,7,133.1,11.75,140.0,Dropout
7,11.4625,9500,4,125.0,12.47142857,119.4,Enrolled
9,13.55555556,171,3,145.0,12.90909091,155.0,Enrolled
5,13.6,9147,5,118.0,11.6,119.1,Graduate
0,0.0,9147,1,120.0,0.0,122.7,Dropout
10,12.36363636,9147,10,127.0,12.9,117.9,Graduate
8,13.22,9500,3,130.0,13.22,130.0,Graduate
7,13.15142857,9500,6,129.0,13.15142857,120.0,Graduate
3,11.33333333,9003,10,130.0,12.75,130.0,Dropout
4,12.25,9254,7,121.0,11.33333333,116.8,Graduate
5,14.14285714,9670,8,136.0,13.25,123.4,Graduate
5,12.4,9070,9,125.0,12.4,125.4,Enrolled
6,12.83333333,9773,7,131.0,15.0,127.2,Dropout
5,13.0,9085,6,122.0,14.4,103.4,Graduate
0,0.0,9773,8,127.0,11.0,123.2,Enrolled
5,10.8,9147,4,136.0,12.4,124.1,Graduate
0,0.0,9556,7,133.1,16.0,99.5,Dropout
5,12.33333333,9991,6,127.0,13.57142857,124.9,Graduate
6,12.5,9070,9,116.0,11.83333333,110.8,Enrolled
5,12.66666667,9238,8,121.0,11.66666667,118.9,Graduate
2,13.0,9238,1,124.0,11.83333333,118.8,Dropout
5,10.6,9254,7,131.0,11.16666667,137.0,Graduate
0,0.0,8014,99,100.0,0.0,100.0,Dropout
6,12.16666667,9119,9,130.0,11.75,120.0,Dropout
6,14.0,9238,4,135.0,14.0,122.8,Graduate
6,12.0,9238,5,130.0,12.83333333,121.6,Graduate
3,11.66666667,9773,3,146.0,12.25,149.2,Graduate
7,14.82857143,9500,3,146.0,14.82857143,140.0,Graduate
5,12.8,9773,9,154.0,11.4,133.4,Graduate
6,12.5,9070,9,137.0,13.0,126.2,Graduate
7,13.67142857,9500,9,151.0,13.67142857,127.8,Graduate
5,12.8,9003,8,150.0,12.66666667,150.0,Graduate
1,13.0,9147,9,121.0,10.0,113.7,Dropout
5,12.33333333,9147,8,122.0,13.5,117.8,Graduate
8,13.55,9500,5,143.0,12.67,136.7,Graduate
6,15.42857143,9238,5,152.0,14.5,144.7,Graduate
8,15.3875,9500,10,145.0,13.68571429,139.8,Graduate
3,10.66666667,9853,3,120.0,11.0,113.7,Dropout
5,13.2,9130,0,140.0,11.55555556,140.0,Dropout
8,13.775,9500,6,143.0,13.79714286,142.3,Enrolled
7,13.81285714,9500,5,129.0,14.00375,119.6,Graduate
4,11.4,9147,9,139.0,12.0,123.7,Graduate
6,14.16666667,8014,10,133.1,14.16666667,143.0,Graduate
5,13.8,9991,4,127.0,14.0,100.1,Graduate
6,12.83333333,9070,5,126.0,13.8,119.4,Graduate
6,11.85714286,8014,0,128.0,12.8,122.1,Graduate
6,13.83333333,9773,4,100.0,12.16666667,100.0,Graduate
6,12.33333333,9070,9,123.0,12.5,113.9,Enrolled
4,11.5,8014,2,170.0,12.0,101.0,Graduate
6,11.5,8014,4,117.0,10.83333333,111.8,Graduate
8,13.385,9500,1,140.0,13.385,140.0,Graduate
6,14.5,9085,10,123.0,15.66666667,124.4,Graduate
6,13.83333333,9003,6,150.0,14.33333333,150.0,Graduate
5,13.0,9003,4,140.0,11.42857143,140.0,Enrolled
6,11.66666667,9238,144,123.0,11.66666667,116.0,Graduate
2,11.33333333,9070,6,130.0,12.0,135.6,Dropout
7,14.72571429,9500,4,137.0,14.72571429,121.0,Graduate
6,13.66666667,9773,8,126.0,14.16666667,118.7,Graduate
6,12.33333333,9238,3,125.0,11.57142857,125.7,Graduate
8,13.1375,9556,10,112.0,12.5,107.1,Graduate
8,12.86,9500,7,141.0,12.86,125.5,Graduate
6,13.71428571,9670,7,135.0,12.25,127.0,Graduate
5,12.2,9085,9,117.0,12.0,113.5,Graduate
8,16.16888889,9500,9,160.0,15.11666667,154.4,Graduate
4,10.25,9670,5,136.0,12.5,122.0,Dropout
0,0.0,9238,3,143.0,0.0,128.0,Dropout
4,11.0,9670,10,119.0,11.0,115.5,Enrolled
4,14.6,9670,5,120.0,11.875,117.2,Graduate
0,0.0,9130,90,150.0,11.0,150.0,Dropout
5,13.2,9085,90,142.0,15.2,155.3,Graduate
2,11.0,9130,8,120.0,11.6,120.0,Dropout
6,15.14285714,9238,1,160.0,14.83333333,116.1,Graduate
3,11.33333333,9853,0,133.1,11.33333333,118.9,Dropout
5,11.8,9147,8,142.0,11.2,127.3,Graduate
5,13.66666667,9853,7,121.0,13.4,113.7,Graduate
0,0.0,9147,4,135.0,10.5,118.5,Dropout
5,16.4,9147,3,153.0,16.2,146.7,Graduate
8,14.88181818,9500,6,140.0,14.54285714,124.3,Graduate
8,14.35555556,9500,5,152.0,13.69428571,137.8,Graduate
6,11.85714286,9238,9,120.0,11.28571429,130.2,Graduate
6,13.08333333,9500,7,160.0,11.75714286,147.8,Enrolled
0,0.0,9085,5,150.0,0.0,150.0,Dropout
7,13.05857143,9500,9,100.0,13.05857143,100.0,Graduate
8,14.05555556,9500,1,150.0,14.3,155.6,Graduate
8,12.0,9147,9,124.0,11.8,117.4,Graduate
3,13.0,9085,5,141.0,10.33333333,128.8,Enrolled
3,11.66666667,9254,8,121.0,10.57142857,117.5,Graduate
6,13.33333333,9500,9,134.0,13.33333333,120.4,Graduate
5,11.0,9238,6,134.0,11.85714286,130.9,Graduate
5,11.4,9853,4,132.0,12.6,125.0,Enrolled
5,11.6,9085,5,135.0,14.0,136.8,Enrolled
6,12.66666667,9853,6,123.0,12.0,121.6,Enrolled
0,0.0,9119,7,151.0,0.0,151.0,Dropout
6,13.0,9238,7,107.0,12.0,103.5,Graduate
6,11.66666667,8014,10,126.0,12.66666667,119.4,Graduate
6,13.66666667,9238,9,133.0,12.16666667,134.4,Graduate
6,14.66666667,9238,7,140.0,13.33333333,143.0,Graduate
7,14.57142857,9853,1,110.0,15.0,110.0,Graduate
8,13.39125,9500,7,141.0,13.39125,132.5,Graduate
6,12.42857143,9238,10,122.0,12.16666667,114.7,Graduate
4,12.5,9130,5,156.0,11.25,166.9,Graduate
3,12.0,9085,1,129.0,12.0,125.9,Enrolled
0,0.0,171,2,188.0,0.0,178.3,Dropout
6,12.85714286,8014,9,120.0,12.83333333,117.0,Graduate
6,13.1,9003,2,130.0,14.0,150.0,Graduate
2,12.0,9147,1,130.0,13.0,130.0,Enrolled
6,12.5,9773,5,140.0,13.5,135.1,Graduate
9,12.30769231,9238,9,110.0,10.69230769,110.0,Enrolled
5,11.66666667,9991,6,133.1,11.0,136.2,Graduate
6,13.83333333,9238,9,120.0,13.0,116.0,Graduate
4,11.25,8014,9,96.0,12.0,100.0,Enrolled
4,11.5,9254,9,117.0,12.6,116.3,Dropout
6,13.33333333,9773,8,123.0,13.66666667,134.0,Graduate
0,0.0,171,5,127.0,0.0,124.2,Dropout
6,14.2,9500,7,151.0,14.2,134.5,Graduate
0,0.0,9254,6,127.0,11.0,120.7,Dropout
6,16.42857143,9085,5,133.0,15.0,127.1,Graduate
7,13.44285714,9500,9,133.1,12.58571429,133.0,Graduate
0,0.0,9991,8,133.1,0.0,128.2,Dropout
0,0.0,9003,8,133.1,0.0,130.0,Enrolled
0,0.0,9085,3,160.0,0.0,172.0,Dropout
6,11.83333333,9853,1,140.0,11.66666667,128.5,Graduate
2,10.0,9773,7,146.0,12.66666667,128.5,Dropout
4,11.0,9147,10,112.0,10.33333333,112.0,Enrolled
7,13.71428571,9085,8,140.0,13.5,142.5,Graduate
5,13.98,9500,1,136.0,13.98,133.0,Enrolled
6,15.75,9085,5,133.1,16.15384615,106.0,Graduate
6,14.03333333,9500,8,136.0,14.03333333,125.5,Graduate
5,11.2,9085,7,134.0,11.0,131.2,Enrolled
6,13.66666667,9853,195,122.0,13.85714286,112.9,Graduate
7,13.41428571,9500,5,138.0,13.41428571,124.8,Dropout
7,13.57142857,8014,4,160.0,13.54545455,140.9,Graduate
4,10.83333333,9991,7,130.0,11.25,148.0,Enrolled
6,14.42857143,9773,7,161.0,13.83333333,148.4,Graduate
5,12.85714286,9991,192,140.0,12.0,129.7,Graduate
0,0.0,9085,7,133.1,0.0,128.2,Dropout
10,12.8,8014,9,133.1,11.9,104.0,Enrolled
0,0.0,9147,9,130.0,0.0,119.9,Dropout
8,15.2875,9500,4,152.0,15.13571429,141.0,Graduate
6,13.33333333,9853,3,125.0,12.28571429,116.6,Enrolled
2,13.5,9085,6,140.0,12.66666667,140.0,Enrolled
6,10.97857143,9500,7,133.1,12.74,140.0,Dropout
8,13.75,9500,8,170.0,13.25,100.0,Enrolled
3,10.33333333,9238,7,135.0,10.33333333,121.0,Enrolled
6,13.16666667,9853,5,125.0,13.42857143,117.0,Graduate
8,11.11111111,9147,1,140.0,12.55555556,140.2,Graduate
6,11.16666667,9238,0,124.0,11.5,129.3,Graduate
6,12.33333333,9853,9,140.0,13.66666667,145.3,Graduate
10,12.0,9991,9,130.0,11.27272727,146.2,Graduate
5,12.4,9853,5,134.0,13.16666667,122.5,Enrolled
6,14.16666667,8014,7,160.0,14.66666667,156.1,Graduate
1,11.0,9085,5,140.0,12.75,140.0,Enrolled
5,12.14,9500,3,150.0,11.2,140.0,Enrolled
5,11.4,9773,7,141.0,13.0,128.4,Dropout
2,12.33333333,9085,10,120.0,10.5,115.0,Dropout
6,14.0,9085,3,166.0,14.85714286,158.7,Graduate
7,12.86,9500,9,147.0,12.86,124.5,Graduate
11,12.0,9238,10,121.0,11.72727273,111.9,Graduate
3,12.0,9085,6,150.0,13.14285714,150.0,Graduate
4,13.71428571,9670,8,124.0,11.8,114.2,Dropout
0,0.0,9147,4,96.0,10.66666667,96.0,Dropout
4,11.2,9070,3,125.0,11.6,128.9,Enrolled
3,10.33333333,9254,7,136.0,10.33333333,121.7,Enrolled
3,11.0,9773,9,120.0,12.25,114.8,Enrolled
4,12.75,9254,9,128.0,12.0,127.0,Enrolled
7,14.73142857,9500,5,142.0,14.73142857,131.3,Graduate
0,0.0,171,9,135.0,0.0,137.1,Graduate
12,14.25,9070,9,120.0,13.61538462,120.0,Graduate
5,14.8,9991,9,140.0,15.8,139.0,Graduate
6,14.57142857,9238,4,135.0,14.66666667,129.1,Graduate
0,0.0,9085,0,133.1,0.0,128.2,Dropout
7,14.65428571,9500,7,137.0,14.65428571,120.8,Graduate
7,12.40142857,9500,8,122.0,12.40142857,135.8,Graduate
7,14.07142857,9500,10,128.0,11.5875,118.9,Graduate
5,15.6,9991,6,140.0,14.0,140.0,Graduate
6,11.83333333,9238,7,132.0,12.33333333,127.1,Graduate
5,15.4,9085,90,131.0,14.0,137.0,Graduate
6,12.375,9085,9,126.0,15.23076923,127.4,Graduate
3,11.0,9853,9,133.1,11.6,97.0,Dropout
6,11.6,9500,9,136.0,11.6,126.3,Graduate
0,0.0,9500,5,140.0,0.0,127.5,Dropout
8,13.09444444,9500,8,135.0,12.90142857,126.6,Graduate
5,14.8,9991,3,160.0,14.14285714,120.0,Graduate
0,0.0,9085,6,140.0,0.0,140.0,Dropout
8,13.25375,9500,3,140.0,13.25375,131.5,Graduate
8,14.1,9556,3,115.0,13.78571429,112.2,Graduate
6,13.91666667,9500,3,144.0,13.91666667,150.5,Graduate
6,13.57142857,9670,7,128.0,13.5,121.0,Graduate
2,10.66666667,9147,2,116.0,11.33333333,112.2,Enrolled
0,0.0,9085,4,135.0,0.0,129.4,Dropout
4,14.6,9670,10,121.0,11.5,114.4,Graduate
7,12.08285714,9500,9,134.0,12.08285714,120.3,Graduate
5,12.8,8014,8,120.0,11.83333333,120.0,Graduate
5,12.4,9147,8,125.0,13.4,114.5,Graduate
0,0.0,9500,3,141.0,0.0,127.8,Dropout
6,14.57142857,9773,8,140.0,14.2,124.6,Graduate
7,13.81428571,9500,5,144.0,13.81428571,130.3,Graduate
6,10.5,9254,5,122.0,11.25,118.2,Enrolled
6,13.66666667,9670,5,130.0,14.5,118.8,Graduate
0,0.0,9670,4,133.1,0.0,133.0,Dropout
6,11.3,9500,9,133.1,11.3,129.0,Graduate
1,16.0,9556,2,147.0,0.0,100.0,Enrolled
3,12.0,9130,5,127.0,12.0,120.7,Enrolled
7,12.3,9500,3,136.0,12.3,132.5,Graduate
7,12.69428571,9500,8,127.0,12.69428571,120.3,Graduate
4,11.0,9670,1,123.0,11.0,114.6,Graduate
6,14.16666667,9238,3,128.0,13.0,116.5,Graduate
8,16.05,9500,1,128.0,14.4125,127.8,Graduate
8,14.0625,9500,7,140.0,12.92875,129.9,Dropout
5,12.8,9773,7,121.0,13.33333333,118.9,Graduate
5,12.8,9254,10,122.0,12.8,114.3,Enrolled
7,14.40285714,9500,5,126.0,14.40285714,114.8,Graduate
7,13.38142857,9500,8,135.0,13.38142857,123.0,Graduate
8,13.98375,9500,5,131.0,14.13125,122.1,Graduate
5,12.6,9085,7,140.0,11.71428571,123.7,Graduate
4,11.25,9147,7,131.0,11.8,132.4,Enrolled
2,11.0,8014,99,130.0,11.16666667,114.8,Graduate
0,0.0,9003,6,130.0,0.0,130.0,Dropout
5,12.0,9853,8,140.0,13.6,122.3,Dropout
11,14.09090909,9003,9,130.0,13.84615385,152.4,Graduate
6,13.33333333,9773,7,125.0,12.5,120.1,Graduate
5,14.6,9130,2,160.0,16.4,155.1,Graduate
11,13.45454545,9070,7,130.0,13.81818182,124.5,Graduate
4,10.5,9238,3,144.0,10.6,126.9,Graduate
5,12.2,9147,5,133.1,10.2,153.2,Graduate
4,10.4,9238,9,148.0,10.6,129.8,Enrolled
